Name,Age,Nationality
F. Brandán,28,Argentina
Zubiaurre,21,Spain
S. Quinn,32,Republic of Ireland
S. Bertram,27,Germany
Z. Korcsmár,29,Hungary
Camacho,37,Spain
D. Sorgić,28,Serbia
P. Mortensen,28,Denmark
Tekio,27,Spain
P. Ofosu-Ayeh,26,Ghana
M. Bíttolo,28,Argentina
B. Djiby Fall,33,Senegal
D. Cardoso,29,South Africa
J. Demetriou,30,Cyprus
Ilhamjan Iminjan,32,China PR
M. Ritzmaier,25,Austria
C. Dell'Orco,24,Italy
H. Shala,26,Norway
R. Williams,26,South Africa
S. Molina,26,Italy
J. Ángulo,22,Colombia
F. Guichón,27,Uruguay
G. Tormin,20,France
R. Noya,28,Argentina
L. Clemenza,20,Italy
Paik Seung Ho,21,Korea Republic
L. Wolsztyński,23,Poland
P. Göbel,24,Germany
A. Gouiri,18,France
S. Bruzzese,29,Belgium
M. Njie,22,Norway
S. Raggett,24,England
P. Klewin,24,Germany
G. Ţucudean,27,Romania
J. Ward,32,Northern Ireland
S. Jovanović,26,Serbia
N. Schouterden,29,Belgium
S. Wannenwetsch,26,Germany
R. Oxford,19,England
R. Gelmi,23,Switzerland
Elgezabal,25,Spain
C. Schorch,29,Germany
F. Migliore,30,Italy
M. Gilks,36,Scotland
Renan Tojeiras,34,Brazil
G. Miura,23,Japan
Juande,31,Spain
H. Rojas,30,Colombia
Nuno Cedrim,26,Brazil
F. Orlando,21,Italy
I. Henderson,33,England
L. Bostyn,24,Belgium
L. Abergel,25,France
A. Zapata,23,Colombia
M. Smith,26,England
N. Zimling,33,Denmark
J. Bager,21,Denmark
G. Masouras,21,Greece
G. Bourillon,34,France
A. D'Alberto,23,Belgium
Lee Seok Hyun,28,Korea Republic
W. Francis,27,Costa Rica
B. Vătăjelu,25,Romania
M. Bani,24,Italy
N. Butzen,25,Germany
L. Ilić,18,Serbia
E. Trejo,28,Mexico
T. Eaves,26,England
D. Del Fabro,23,Italy
Pol García,23,Spain
F. Escobar,23,Argentina
D. Agazzi,25,Italy
C. Cambon,31,France
A. Tembeng,26,Cameroon
A. Gomes,17,England
Estevãtinho,26,Brazil
S. Lex,28,Germany
Bernabé,25,Spain
K. Matsubara,25,Japan
E. Purita,21,Argentina
S. Guri,24,Albania
C. Albanis,23,Greece
F. Holthaus,23,Germany
L. da Silva Lopes,19,Portugal
S. MacDonald,30,Wales
M. Reynolds,31,Scotland
M. Janota,27,Poland
Piao Cheng,28,China PR
M. McNulty,25,Scotland
Alan Schons,25,Brazil
L. Heredia,21,Argentina
T. Elliott,27,England
R. Lundström,28,Sweden
S. Ganz,24,Italy
A. El Kaabi,25,Morocco
P. Testroet,27,Germany
S. Benyamina,28,Germany
C. Sepúlveda,26,Chile
E. Assifuah,24,Ghana
L. Robles,31,Mexico
V. N'Simba,24,DR Congo
C. Handke,29,Germany
S. Córdova,20,Venezuela
K. Kratz,31,Germany
M. Lowe,21,England
Claude Gonçalves,24,Portugal
D. Swanson,31,Scotland
G. Trauner,26,Austria
Accioly,37,Brazil
G. Iñíguez,24,Argentina
D. Furlong,22,England
J. Larsson,21,Sweden
Matheus Índio,22,Brazil
Guarrotxena,25,Spain
D. McGowan,26,Australia
B. Sankoh,26,Guinea
G. Evans,30,England
J. Gómez,27,Argentina
A. Márquez,26,Chile
O. Čelůstka,29,Czech Republic
F. Öztorun,31,Turkey
C. Mafla,25,Colombia
I. Ochoa,21,Mexico
Lucas Fernandes,20,Brazil
Fernando Andrade,25,Brazil
T. Breukers,30,Netherlands
E. Salomonsson,29,Sweden
A. Iacobucci,27,Italy
P. Izzo,23,Australia
M. Farrona Pulido,25,Germany
S. Diarra,23,Mali
Frederico Rendel,30,Brazil
R. Tait,28,Scotland
Y. Kurtuluş,32,Turkey
M. Starke,27,Namibia
J. Wilson,22,England
E. Tozlu,27,Turkey
Javi Flores,32,Spain
R. Cereceda,33,Chile
E. Padella,29,Italy
J. Onguéné,20,Cameroon
B. Bahn,25,Germany
D. Prokop,21,Austria
N. Seufert,21,Germany
S. Lobjanidze,23,Georgia
J. Miño,30,Argentina
M. Ullmann,22,Austria
M. Mandorlini,29,Italy
C. Mahoney,21,England
J. Fortes,29,Cape Verde
G. Mastinu,26,Italy
Alex Doneiro,30,Brazil
Miguel Oliveira,24,Portugal
J. von Haacke,24,Germany
Jang Yun Ho,21,Korea Republic
F. Beijmo,20,Sweden
D. Furman,30,South Africa
Park Jong Woo,29,Korea Republic
E. Lieftink,24,Netherlands
Diego Aguirre,27,Spain
Gustavo Pastinho,26,Brazil
R. Manaj,21,Albania
F. Kadioglu,18,Netherlands
Alex López,21,Spain
D. Perkins,36,England
J. Bendik,29,United States
Varela,23,Spain
Oriol Busquets,19,Spain
Pipa,20,Spain
Pardo,30,Spain
T. Lam,24,Finland
J. Rodon,20,Wales
Abel Ruiz,18,Spain
J. Attinella,29,United States
A. Mendoza,24,Mexico
P. Zinckernagel,23,Denmark
E. Güral,29,Turkey
Ko Seung Beom,24,Korea Republic
E. Zhegrova,19,Kosovo
B. Baráth,26,Hungary
E. Bakker,28,Netherlands
G. Kastaneer,22,Curacao
R. Rubin,22,United States
F. Altamirano,22,Argentina
M. Wanitzek,25,Germany
H. Fujiharu,29,Japan
C. Colmán,24,Paraguay
K. Kuchaev,20,Russia
J. Shonga,21,Zambia
S. Sararer,28,Turkey
M. Grimes,22,England
G. Kamara,22,Finland
J. Salas,24,Mexico
R. Perraud,20,France
G. Baldock,25,England
Y. Nakayama,21,Japan
P. Eler,27,Slovenia
Nano,33,Spain
X. Mlambo,27,South Africa
O. Andrievskyi,24,Ukraine
A. Judge,29,Republic of Ireland
E. Alvarado,29,Costa Rica
Buatu,24,Angola
A. Czerwiński,25,Poland
V. Sarno,30,Italy
M. Pušić,30,Austria
E. Fryers,25,England
P. Caballero,32,Argentina
A. El-Abd,33,Egypt
K. Wojtkowski,20,Poland
T. Boss,25,Germany
J. Earl,19,England
S. Özkan,31,Turkey
J. Murillo,24,Colombia
S. Jaime,31,Argentina
M. Bader,21,Germany
D. Arboleda,23,Colombia
B. Merlini,22,Argentina
M. Smith,29,Northern Ireland
M. Helik,22,Poland
J. Föhrenbach,22,Germany
K. Mizunuma,28,Japan
S. Jamieson,29,Australia
R. Grange,29,France
D. Nazarov,28,Azerbaijan
C. Robles,26,Colombia
M. Akbaş,28,Turkey
J. Eggestein,20,Germany
P. Bouby,34,France
V. Berisha,24,Norway
Sérgio Marakis,26,Portugal
N. Rubio,23,Colombia
Xande Silva,21,Portugal
Claudio Silbeiro,34,Brazil
S. Marzo,27,Belgium
G. Villagra,36,Chile
Carlos Abad,23,Spain
M. Prévot,21,France
C. Maguire,29,Scotland
F. Serrarens,27,Netherlands
K. Løkberg,26,Norway
S. Scherder,25,Germany
Venanzio Meirás,30,Brazil
João Pedro,25,Brazil
L. Duarte,27,Netherlands
Quintanilla,27,Spain
E. Carvajal,29,Chile
T. Fosu,22,England
L. Caicedo,22,Colombia
Néstor Albiach,25,Spain
A. DeLaGarza,30,Guam
A. Durak,31,Turkey
T. Haye,23,Netherlands
Jaílson,22,Brazil
J. Steele,27,England
P. Vlachodimos,26,Greece
D. Bohar,26,Slovenia
H. Elhouni,24,Libya
O. Mihálik,21,Czech Republic
L. Nestor,29,France
J. Thomassen,30,Norway
S. Lewerenz,27,Germany
V. Marchetti,20,France
G. Lódico,20,Argentina
Leandro,25,Brazil
R. Colclough,23,England
J. Ampuero,31,Chile
Dani Romera,22,Spain
C. Acuña,30,Paraguay
A. Radovanović,24,Serbia
W. Moimbé-Tahrat,29,France
R. de Boer,20,Netherlands
N. Julan,21,France
T. Ebner,26,Austria
A. Vindheim,22,Norway
L. Acevedo,26,Argentina
S. Zúñiga,28,Chile
T. Vlietinck,20,Belgium
E. Friberg,32,Sweden
A. Oshilaja,25,England
G. Herrera,34,Argentina
J. Nyholm,24,Sweden
D. Nishi,30,Japan
Nadjack,24,Guinea Bissau
K. Broadfoot,33,Scotland
K. Omori,26,Japan
K. Begois,36,Belgium
Alemão,31,Brazil
T. Asta-Buruaga,21,Chile
K. Azamoum,28,France
A. Mozo,21,Mexico
A. Gilbey,23,England
S. Nagasawa,29,Japan
Jorge Fellipe,29,Brazil
M. Rutten,25,Netherlands
Neris,26,Brazil
Moon Chang Jin,24,Korea Republic
J. Mena,29,Colombia
C. Espinosa,35,Chile
A. Nkaka,22,Belgium
Álvaro Tejero,21,Spain
F. Concas,31,Italy
A. Coșelev,24,Moldova
D. Kolovos,25,Greece
Zhang Yuning,21,China PR
J. Perch,32,England
Rafael de Aseiro,26,Brazil
I. Niane,19,Senegal
J. Anibaba,29,United States
Iñigo Muñoz,21,Spain
T. Sana,28,Sweden
P. Papp,28,Romania
T. Tzandaris,25,Greece
K. Staude,21,Germany
A. Oumarou,31,Cameroon
Lee Bum Young,29,Korea Republic
I. Kecojević,30,Montenegro
L. Cárdenas,24,Mexico
L. López,24,Mexico
A. Sedlar,26,Serbia
A. Woodyard,25,England
I. Koné,27,France
J. Hernández,32,Colombia
J. Espinoza,26,Chile
T. Hamed,29,Egypt
L. Dvali,23,Georgia
T. Ugajin,30,Japan
Abraham,32,Spain
G. Edwards,25,Wales
J. Zuluaga,25,Colombia
A. Lundqvist,24,Sweden
C. Wyke,25,England
B. Godeau,26,Belgium
P. Mullins,26,United States
T. Sekine,23,Japan
Zé Turbo,21,Guinea Bissau
I. Franjić,30,Australia
M. Boxall,29,New Zealand
J. Schoop,29,Denmark
C. Traoré,26,Mali
J. Williams,30,United States
A. Jackson,24,England
L. Povea,24,Chile
S. Ngom,25,Senegal
Adaílton,27,Brazil
A. Bell,24,England
B. Galloway,22,England
F. Bravo,24,Argentina
Rubén Yáñez,24,Spain
H. Belkebla,24,Algeria
Y. Mutō,29,Japan
P. Frattali,32,Italy
Yu Dabao,30,China PR
C. Noone,30,England
D. Kempe,32,Germany
J. Thomsen,36,Denmark
Derik,25,Spain
N. Lomb,24,Germany
S. Traut,33,Germany
J. Ryan,29,Republic of Ireland
J. Morris,26,England
S. Goss,22,Germany
S. Aytaç,26,Turkey
K. Miyoshi,21,Japan
J. Opoku,28,Netherlands
S. Sutter,32,Switzerland
R. Vloet,23,Netherlands
I. Depe,25,Turkey
S. Campo,22,Switzerland
G. Gotti,24,Argentina
Zhao Mingjian,30,China PR
V. Rennella,29,France
Nacho,25,Spain
Ícaro,29,Brazil
A. Crawford,26,Scotland
A. Ajeti,24,Albania
I. Vetokele,26,Angola
B. Aloé,24,France
B. Véjar,22,Chile
M. Al Kuwaykibi,23,Saudi Arabia
Z. Ismail,24,England
A. Fletcher,22,England
A. Martinelli,25,Switzerland
K. Henry,35,England
L. Guwara,22,Germany
Sancet,18,Spain
Mandi,29,Spain
M. Sarr,24,France
S. Hefti,20,Switzerland
C. Monschein,25,Austria
L. Belingheri,35,Italy
M. Lovera,19,Argentina
J. Nerwinski,23,United States
M. Turner,34,England
Cesinha,28,Brazil
M. Escudero,29,Argentina
J. Rivas,33,Mexico
S. Szymański,19,Poland
E. Kılınç,23,Turkey
Jon Erice,31,Spain
F. Sears,28,England
Kang Min Soo,32,Korea Republic
P. Lienhart,21,Austria
T. Miller,25,United States
R. Fennell,29,United States
M. Ibáñez,31,Argentina
A. Arrighini,28,Italy
J. Cádiz,22,Venezuela
L. Kozák,29,Czech Republic
T. Hoban,24,Republic of Ireland
B. Romero,27,Argentina
G. Togni,20,Argentina
R. Perticone,31,Italy
K. Kitagawa,21,Japan
G. Tello,25,Chile
I. Pallas,35,Uruguay
B. Carvallo,21,Chile
J. Hesketh,22,England
J. Clément,33,France
C. Songkrasin,24,Thailand
Quim Araujo,30,Spain
K. Hause,22,England
D. Quiñónes,22,Colombia
T. Wachsmuth,31,Germany
J. Harvey,34,United States
Hwang Ki Wook,22,Korea Republic
K. Pusch,25,Germany
K. Ota,30,Japan
M. Mouandilmadji,20,Chad
J. McCarthy,22,England
André Bahia,34,Brazil
B. Kopplin,29,Germany
S. Contessa,28,Italy
J. Löhmannsröben,27,Germany
T. Rowe,29,England
M. Răduţ,28,Romania
M. Hamdaoui,25,Netherlands
I. Bandalovski,31,Bulgaria
D. Bamba,23,Ivory Coast
H. Berríos,31,Chile
M. El Allouchi,23,Morocco
M. Barreto,27,France
F. Tardieu,26,France
A. Barbaro,26,Argentina
C. Verdonk,21,Netherlands
A. Blondell,24,Venezuela
Eddy Silvestre,25,Azerbaijan
Z. MacMath,26,United States
M. Sao,28,France
T. Bingöl,25,Turkey
M. Busch,23,Germany
T. Cantwell,20,England
Xiao Zhi,33,China PR
B. Smith,24,Australia
E. Suagher,25,Italy
C. Flórez,23,Colombia
T. Ebuehi,22,Nigeria
Kaio Aldair,26,Brazil
I. Groothuizen,21,Netherlands
Provencio,30,Spain
Jairo Morillas,24,Spain
M. Al Fatil,26,Saudi Arabia
T. Deng,21,Australia
D. Lamkel Zé,21,Cameroon
V. Luchkevych,22,Ukraine
J. Edmundsson,26,Faroe Islands
G. Long,24,England
J. Radošević,24,Croatia
M. Pennington,23,England
Z. Ondrášek,29,Czech Republic
C. Remmer,25,Denmark
L. Slagveer,24,Netherlands
F. Lewis,25,Netherlands
M. Rivoredo,26,Paraguay
J. Vásquez,30,Colombia
M. Svilar,18,Belgium
J. Jeggo,26,Australia
G. Navarrete,23,Chile
Alemão,27,Brazil
Y. Coulibaly,23,Burkina Faso
F. Saavedra,32,Chile
R. Framberger,22,Germany
J. Vargas,20,Chile
S. Aluko,29,Nigeria
M. Power,24,England
S. Pasa,24,Italy
F. Valot,25,France
J. Kalla,31,Germany
S. Chhetri,33,India
Bicho,22,Spain
M. Parensen,32,Germany
R. Manning,22,Republic of Ireland
Rodri Tarín,21,Spain
A. Mbekile,31,South Africa
R. Arias,25,Uruguay
S. Singh,19,New Zealand
L. Schweers,22,Germany
H. Hansson,25,Faroe Islands
J. Whatmough,22,England
H. Cummings,26,Panama
T. Kløve,27,Denmark
E. Mosquera,27,Colombia
G. Di Chiara,24,Italy
João Silva,28,Portugal
N. Solís,24,Argentina
J. Monreal,22,Chile
W. Cartagena,23,Peru
G. Itter,19,Germany
Bruno Costa,21,Portugal
D. Dervite,29,France
Lee Jong Sung,25,Korea Republic
E. Palomino,32,Colombia
R. Lindkvist,28,Sweden
V. Kostevych,25,Ukraine
D. Rowe,26,England
Diego Maurício,27,Brazil
M. Guidone,32,Italy
B. Jones,31,England
S. Ishizaki,36,Sweden
B. van Hintum,31,Netherlands
E. Brítez,26,Argentina
S. Aresti,32,Italy
W. Pacheco,23,Colombia
K. Fisker,30,Denmark
P. Förster,23,Germany
T. Rogne,28,Norway
B. Rymaniak,28,Poland
R. McGowan,28,Australia
D. Bingham,28,United States
S. Bradley,26,England
Tiago Gomes,31,Portugal
D. Marsura,24,Italy
S. Zurbriggen,28,Argentina
N. Valentini,29,Argentina
S. Field,20,England
C. Seitz,31,United States
A. Winter,31,Switzerland
L. Azouni,24,Tunisia
K. Larsen,25,Denmark
J. Coppinger,37,England
L. Feeney,31,England
K. Cissé,29,Guinea
H. Martínez,31,Chile
C. Townsend,25,England
L. Delgado,37,Colombia
F. Heerkens,28,Netherlands
T. Dierckx,23,Belgium
L. Rolón,23,Argentina
J. De la Cuesta,35,Colombia
J. Martínez,31,Mexico
J. Spearing,29,England
J. Edwards,27,England
J. Gonzalez,23,United States
K. Karami,28,Morocco
N. Lozano,24,Colombia
L. Camp,33,Northern Ireland
L. Hyam,26,England
O. Vásquez,28,Colombia
M. Polster,25,United States
Ribamar,21,Brazil
R. Sandoval,23,Peru
Gonzalo Verdú,29,Spain
A. Halliday,26,Scotland
T. Casasola,22,Argentina
J. Stojanović,26,Serbia
J. Burić,31,Bosnia Herzegovina
H. Stengel,22,Norway
Paolo Fernandes,19,Spain
Rufo,25,Spain
T. Hysén,36,Sweden
Yun Suk Young,28,Korea Republic
J. Forster-Caskey,24,England
N. Palacios,26,Colombia
Jhonnattann,28,Brazil
D. Efremov,23,Russia
B. San Juan,24,Chile
R. Henry,20,England
B. Baningime,19,DR Congo
Zhao Xuri,32,China PR
K. Luijckx,32,Netherlands
Tiago Caeiro,34,Portugal
S. Moreo,25,Italy
L. Maciel,22,Argentina
M. Gibbs-White,18,England
Ibson Melo,28,Brazil
D. De Silva,21,Australia
N. Hagglund,25,United States
G. Gutiérrez,28,Colombia
D. Nikolaou,19,Greece
J. Valencia,23,Ecuador
K. Nagasawa,26,Japan
I. Yagan,28,Armenia
A. Bruce,33,Northern Ireland
M. Bokadi,26,DR Congo
Cleylton,25,Brazil
Ilsinho,32,Brazil
G. Moncini,22,Italy
M. Jarvis,32,England
F. Carvalho,24,Uruguay
Iban Salvador,22,Equatorial Guinea
Ricardo Machado,29,Portugal
M. Vigorito,28,Italy
S. Gallucci,27,Argentina
F. Manzano,24,Chile
B. Sweat,26,United States
V. Rodić,24,Montenegro
M. El Hankouri,21,Morocco
M. Figueroa,35,Honduras
Hicham,20,Morocco
M. Čovilo,32,Serbia
G. Hamer,21,Netherlands
P. Kammerbauer,21,Germany
N. Ramos,36,Colombia
A. Grant,31,England
M. Gómez,19,Argentina
Javi Sánchez,21,Spain
L. Brattan,28,Australia
H. Jimenez,29,United States
V. Vermeij,23,Netherlands
S. Muroya,24,Japan
P. Michorl,23,Austria
F. N'Goma,25,France
M. Lekven,30,Norway
R. Tafazolli,26,England
F. Telechea,36,Argentina
J. Hergault,32,France
T. Loska,22,Poland
L. Geminiani,27,Argentina
G. Arteaga,19,Mexico
C. Del Grosso,35,Italy
D. Srbeny,24,Germany
R. Meara,27,Republic of Ireland
E. Acolatse,22,Netherlands
M. Garrido,32,Argentina
C. Burke,34,Scotland
B. Vides,25,Argentina
L. Comas,23,Argentina
Benito,22,Spain
J. Martinez,21,Chile
Fali,24,Spain
Chus Herrero,34,Spain
Kim Oh Gyu,29,Korea Republic
U. Rivas,22,Mexico
C. Lizarazo,27,Colombia
D. Braaten,36,Norway
Lazo,22,Spain
L. Mago,23,Venezuela
A. Bannink,28,Netherlands
S. Wootton,26,England
H. Mojica,25,Colombia
T. McNamara,27,United States
Kwak Tae Hwi,36,Korea Republic
C. Martins Pereira,21,Luxembourg
O. Bogle,24,England
N. Devlin,24,Scotland
M. Marras,24,Italy
B. Godfrey,20,England
D. de Wit,20,Netherlands
José Carlos,22,Spain
M. Sordell,27,England
S. Carrasco,29,United States
M. Gelabert,36,Argentina
H. Watanabe,30,Japan
K. Rodrigues Pires,26,Portugal
B. Manuel,21,Belgium
Álex López,24,Spain
L. Cabezas,32,Colombia
A. Bussaglia,21,Italy
L. Copete,29,Nicaragua
M. Crimi,28,Italy
D. Toia,26,United States
D. Bakker,23,Netherlands
Lucas,25,Brazil
Neto Borges,21,Brazil
D. Frare,22,Italy
C. Rivas,24,Colombia
B. Straalman,21,Netherlands
T. Chalobah,18,England
K. Jóźwiak,20,Poland
U. Bangura,30,Sierra Leone
P. Strand,23,Norway
F. Ahmadzadeh,25,Iran
K. Engel,29,Kazakhstan
A. Straith,27,Canada
Y. Rivera,29,Colombia
K. Opseth,28,Norway
J. Naismith,24,Scotland
Evander,20,Brazil
Íñigo López,35,Spain
E. Correa,25,Colombia
M. Steinmann,23,Germany
Y. Toyoda,33,Japan
E. Atuesta,21,Colombia
A. Abeid,20,Mauritania
P. Barrios,28,Argentina
H. Pertuz,29,Colombia
F. Strauss,23,Austria
R. Schwartz,28,Denmark
F. Moyano,20,Argentina
C. Kum,32,Germany
M. Albertazzi,27,Italy
B. Santalab,35,Australia
F. Nordkvelle,32,Norway
David Haro,27,Spain
Jadson,26,Brazil
João Gabriel,29,Brazil
J. Villarreal,24,United States
T. Thompson,22,United States
Reinildo,24,Mozambique
Z. Flemming,19,Netherlands
A. Forde,24,Republic of Ireland
F. Olinga,22,Cameroon
Gaspar,20,Spain
H. Okuno,28,Japan
Y. Takahashi,33,Japan
M. Mirić,31,Serbia
K. Vassell,25,Northern Ireland
Rafa Páez,23,Spain
D. Dianessy,22,France
R. McGree,19,Australia
J. Goossens,29,Netherlands
G. Acosta,26,Mexico
M. Ihiekwe,25,England
J. Wildsmith,22,England
R. Burke,21,England
N. Larsen,27,Denmark
A. Al Ghamdi,23,Saudi Arabia
Manu García,27,Spain
J. Keita,19,Guinea
D. Adorni,25,Italy
C. Gutiérrez,21,Canada
Ha Chang Rae,23,Korea Republic
S. Kiyine,20,Morocco
E. Eze,21,Nigeria
M. Ødegaard,25,Norway
V. Ranković,25,Germany
Pedro Chirivella,21,Spain
A. Al Obaid,25,Saudi Arabia
B. Gimber,21,Germany
Theo Ryuki,22,Japan
Miranda,18,Spain
B. Inman,26,Australia
Aridai,29,Spain
C. Lenz,23,Germany
Sun Jie,26,China PR
B. Rovira,21,Colombia
R. Pirrello,22,Italy
G. Vlijter,21,Suriname
Álex Díez,22,Spain
N. Dumitru,26,Italy
K. Al Ghamdi,30,Saudi Arabia
M. Boyle,25,Australia
D. Saddiki,21,Netherlands
S. Franklin,33,United States
S. Ingelsson,20,Sweden
Josimar Feijoo,26,Brazil
S. Diaz,22,Chile
Manu Vallejo,21,Spain
Lee Sang Ho,31,Korea Republic
F. Kurto,27,Poland
A. Witry,22,Norway
L. Varney,35,England
Valverde,33,Spain
H. Taniguchi,33,Japan
J. Blåbjerg,23,Denmark
J. Emmanuel,20,England
N. Gauna,26,Argentina
P. Kovář,32,Czech Republic
F. Holst,23,Denmark
B. Barker,21,England
L. Trotter,29,England
F. Narsingh,30,Netherlands
D. Gustavsson,27,Sweden
C. Dajome,24,Colombia
M. Trapp,26,Germany
A. Mintzel,36,Germany
M. Piossek,28,Poland
Borja Granero,28,Spain
Son Jeong Hyeon,26,Korea Republic
Kim Sung Ju,27,Korea Republic
C. Dieng,24,Senegal
L. Sinisterra,19,Colombia
M. Cabit,25,France
O. Wijndal,18,Netherlands
N. Vujadinović,31,Montenegro
M. Delač,25,Croatia
D. Herner,34,Argentina
M. Hilßner,23,Germany
Beto da Silva,21,Peru
Bastos,26,Spain
D. Jastrzembski,18,Germany
F. Farnolle,33,Benin
M. Lorenz,29,Germany
K. Kallaste,29,Estonia
N. Opoku,20,Ghana
S. Ağçay,36,Turkey
M. Wassey,30,Canada
P. Micin,19,Serbia
M. Crépeau,24,Canada
J. Helmer,20,Netherlands
C. Doudin,31,Switzerland
M. Mak,26,Poland
S. Sharahili,28,Saudi Arabia
N. Datković,25,Croatia
E. Lancini,24,Italy
Jailson Acuna,30,Brazil
P. Pawlett,27,Scotland
J. Hardeveld,23,Netherlands
J. Kliment,24,Czech Republic
R. Goreux,30,Haiti
C. Vargas,19,Mexico
A. Fuenmayor,21,Venezuela
R. Åhman Persson,31,Sweden
M. Slavov,27,Ukraine
Lee Chan Dong,25,Korea Republic
D. Szymański,23,Poland
S. Stolze,23,Germany
B. Tekpetey,20,Ghana
F. El Mellali,21,Algeria
M. Doughty,25,Wales
M. Szczepaniak,27,Poland
A. Martínez,24,Chile
T. Teniste,30,Estonia
G. Korte,24,Netherlands
B. Alnwick,31,England
D. Acosta,20,United States
B. Manu,21,Germany
Jin Seong Wook,24,Korea Republic
S. Akasaki,26,Japan
S. N'Guessan,23,Ivory Coast
A. Angoula,37,France
K. Pedersen,25,Denmark
J. Brayford,30,England
S. Suciu,28,Romania
M. Ricci,24,Italy
Morillas,31,Spain
K. Andersen,32,Belgium
F. Varela,22,Argentina
Júnior Negão,31,Brazil
F. Casarini,28,Italy
J. Omolo,28,Kenya
C. Chapman,23,Australia
Rúben Oliveira,23,Portugal
S. Lizana,25,Chile
K. Hidalgo,22,Chile
J. Mackie,32,Scotland
Han Seung Gyu,21,Korea Republic
Narcisso Mau,30,Brazil
L. Reis,18,Netherlands
C. Gomes,17,France
L. Angulo,22,Colombia
E. Domaschke,32,Germany
M. Nizam,27,Turkey
B. Halloran,26,Australia
P. Möschl,25,Austria
M. Milec,26,Slovenia
F. Bambock,23,France
S. Vasiliadis,20,Germany
Rui Silva,22,Portugal
T. van de Looi,18,Netherlands
M. Orozco,32,United States
M. N'Doye,26,Senegal
E. Sarraj,28,Saudi Arabia
Fabio,29,Brazil
J. Graham,23,England
E. Farias,29,Chile
Mica Pinto,25,Portugal
J. Tanaka,30,Japan
B. Whiteman,22,England
Nazario Serpe,26,Brazil
I. Arce,26,Argentina
R. Hollingshead,27,United States
Botelhinonsa,30,Brazil
Lim Chan Wool,23,Korea Republic
Joca,22,Portugal
J. Sandoval,31,Uruguay
B. Knežević,21,Croatia
Y. Anchico,34,Colombia
F. Del Sole,20,Italy
Dálcio,22,Portugal
F. Cosenza,32,Italy
P. Daka,19,Zambia
O. Ribera,26,Bolivia
V. Andriuškevičius,27,Lithuania
R. Clark,35,United States
M. Angha,24,Switzerland
J. Dasilva,20,England
M. Bär,26,Germany
J. Mora,25,Costa Rica
G. Rodríguez,27,Argentina
F. Diarra,26,Mali
K. Igboananike,29,Nigeria
S. Horvath,21,Austria
J. Levi,22,Sweden
D. Cole,23,England
M. Hallberg,22,Sweden
Carlos Blanco,22,Spain
R. Guerra,21,Uruguay
S. Scannell,27,Republic of Ireland
J. Marquis,26,England
Park Gi Dong,29,Korea Republic
N. Jackers,20,Belgium
M. Schröter,22,Germany
L. Broź,32,Poland
J. Dodoo,23,Ghana
C. Ronan,20,Republic of Ireland
Edenildo Lagoas,30,Brazil
S. Freis,33,Germany
E. Diaw,23,Senegal
E. Owusu,20,France
L. Vácha,29,Czech Republic
L. Hutten,28,Netherlands
M. Dittgen,23,Germany
Park Han Bin,20,Korea Republic
R. Matsuda,26,Japan
D. Frick,28,Germany
Chuca,21,Spain
A. Lamas,34,Uruguay
A. Grant,24,Australia
Hwang Seok Ho,29,Korea Republic
G. Berthier,22,France
F. Depaoli,21,Italy
E. Godoy,31,Chile
N. Dorsch,20,Germany
M. Massop,24,Netherlands
D. Blacha,27,Poland
A. Angulo,21,Colombia
R. Niemeijer,23,Netherlands
M. Melluso,20,Argentina
Kim Ho Nam,29,Korea Republic
L. Cabrera,24,Chile
P. Dziczek,20,Poland
L. Badiashile,20,France
H. Shipp,26,United States
O. Cissokho,31,Senegal
Ricardinho,28,Brazil
P. Tomasik,30,Poland
T. Leugers,27,Germany
T. Wada,27,Japan
A. Beghetto,23,Italy
M. Inoha,32,Japan
D. Cappelletti,26,Italy
D. Murillo,24,Colombia
D. Blanco,23,Argentina
G. Kobel,20,Switzerland
J. Bøge,28,Denmark
B. Valette,25,France
S. Davies,30,England
F. Proia,22,Italy
O. Kiteishvili,22,Georgia
C. Forrester,25,Republic of Ireland
D. Balanta,24,Colombia
L. Montipó,22,Italy
J. Tverskov,25,Denmark
D. Barinov,21,Russia
M. Hughes,31,England
S. Brandstetter,28,Germany
R. Seuntjens,29,Netherlands
D. Samuel,24,England
E. Palmer-Brown,21,United States
Y. González,23,Colombia
D. van Bruggen,22,Netherlands
G. Pacheco,29,Chile
P. Ochs,21,Germany
Miguelón,22,Spain
J. Horn,31,Norway
E. Boldewijn,25,Netherlands
Stéfano Pinho,27,Brazil
P. Bochniewicz,22,Poland
E. Caicedo,23,Colombia
P. Sisniega,22,Mexico
F. Wadja,23,Cameroon
A. Al Faraj,29,Saudi Arabia
S. Al Muwallad,27,Saudi Arabia
Yang Cheng,32,China PR
N. Douchez,38,France
U. Jenssen,21,Norway
C. Dawson,22,England
F. Gino,25,Uruguay
Alberto Soro,19,Spain
C. Carrillo,25,Colombia
D. Palacios,18,Ecuador
A. Baclet,32,France
E. Jääger,33,Estonia
M. Hofmann,24,Austria
J. Jach,24,Poland
G. Docherty,21,Scotland
L. Escorcia,21,Colombia
R. Rebolledo,21,Chile
Toni Martínez,21,Spain
Ander Guevara,20,Spain
D. Drescher,28,Austria
J. Gammelby,23,Denmark
J. Watts,26,United States
